2022-03-26T08:45:04.506691300 MSG: 5 objects were read for Sberbank
2022-03-26T08:45:04.509682100 MSG: 5 objects were read for Tinkoff
2022-03-26T08:45:04.512675300 MSG: 5 objects were read for VTB
2022-03-26T08:45:04.516665500 MSG: Sberbank 100000.0
2022-03-26T08:45:04.517661200 MSG: AllCredits contains 15 credits
2022-03-26T08:45:04.518660600 MSG: aue 15
2022-03-26T08:45:04.519658300 MSG: pressed true
2022-03-26T08:45:04.581491200 MSG: Application started
2022-03-26T08:45:42.235713300 MSG: aue 15
2022-03-26T08:45:42.236707800 MSG: pressed true
2022-03-26T08:45:42.867414300 MSG: aue 15
2022-03-26T08:45:42.867414300 MSG: pressed true
2022-03-26T08:45:43.371335200 MSG: aue 15
2022-03-26T08:45:43.372332500 MSG: pressed true
2022-03-26T08:45:43.953477400 MSG: aue 15
2022-03-26T08:45:43.954474100 MSG: pressed true
2022-03-26T08:45:44.445737200 MSG: aue 15
2022-03-26T08:45:44.445737200 MSG: pressed false
2022-03-26T08:45:45.471527 MSG: aue 15
2022-03-26T08:45:45.471527 MSG: pressed false
2022-03-26T08:45:46.823219900 MSG: aue 15
2022-03-26T08:45:46.824218600 MSG: pressed false
2022-03-26T08:45:47.683654400 MSG: aue 15
2022-03-26T08:45:47.683654400 MSG: pressed false
2022-03-26T08:45:48.795647500 MSG: aue 15
2022-03-26T08:45:48.796629600 MSG: pressed false
2022-03-26T08:45:49.586243500 MSG: aue 15
2022-03-26T08:45:49.587241100 MSG: pressed false
2022-03-26T08:45:54.325673100 MSG: aue 15
2022-03-26T08:45:54.325673100 MSG: pressed false
2022-03-26T08:45:54.439384600 MSG: aue 15
2022-03-26T08:45:54.440384800 MSG: pressed false
2022-03-26T08:45:57.293512500 MSG: aue 15
2022-03-26T08:45:57.293512500 MSG: pressed false
2022-03-26T08:46:29.300325800 MSG: aue 15
2022-03-26T08:46:29.300325800 MSG: pressed true
2022-03-26T08:46:30.387190600 MSG: aue 15
2022-03-26T08:46:30.389173200 MSG: pressed true
2022-03-26T08:46:30.636451800 MSG: aue 15
2022-03-26T08:46:30.636451800 MSG: pressed true
2022-03-26T08:46:32.611393300 MSG: aue 15
2022-03-26T08:46:32.611393300 MSG: pressed true
2022-03-26T08:46:33.438643700 MSG: aue 15
2022-03-26T08:46:33.439655400 MSG: pressed true
2022-03-26T08:46:35.015616100 MSG: aue 15
2022-03-26T08:46:35.015616100 MSG: pressed true
